series,celebrity,professional,week,dance,dance_style,song,artist,total_score,craig,len,bruno,arlene,alesha,darcey,shirley,motsi,anton,verdict,celeb_dob,celeb_age,celeb_gender,pro_gender,same_sex
2,Julian Clary,Erin Boag,3,Tango,Ballroom,Roxanne,The Police,27,6.0,7.0,7.0,7.0,,,,,,safe,1959-05-25,45.0,M,F,False
2,Jill Halfpenny,Darren Bennett,3,Jive,Latin,I'm Still Standing,Elton John,35,8.0,9.0,9.0,9.0,,,,,,safe,1975-07-15,29.0,F,M,False
2,Esther Rantzen,Anton Du Beke,3,Tango,Ballroom,Tanguera,Mariano Mores,16,2.0,4.0,5.0,5.0,,,,,,eliminated,1940-06-22,64.0,F,M,False
2,Denise Lewis,Ian Waite,3,Jive,Latin,Some Girls,Rachel Stevens,25,6.0,6.0,6.0,7.0,,,,,,bottom-two,1972-08-27,32.0,F,M,False
2,Diarmuid Gavin,Nicole Cutler,3,Tango,Ballroom,Por Una Cabeza,Quintango,14,2.0,3.0,5.0,4.0,,,,,,safe,1964-05-10,40.0,M,F,False
2,Aled Jones,Lilia Kopylova,3,Jive,Latin,Crazy Little Thing Called Love,Queen,32,8.0,8.0,8.0,8.0,,,,,,safe,1970-12-29,33.0,M,F,False
2,Sarah Manners,Brendan Cole,3,Tango,Ballroom,Hernando's Hideaway,Alma Cogan,31,7.0,8.0,8.0,8.0,,,,,,safe,1975-08-25,29.0,F,M,False
2,Denise Lewis,Ian Waite,4,Foxtrot,Ballroom,Let There Be Love,Nat King Cole,30,7.0,7.0,8.0,8.0,,,,,,safe,1972-08-27,32.0,F,M,False
2,Sarah Manners,Brendan Cole,4,Paso Doble,Latin,Bring Me To Life,Evanescence,29,8.0,7.0,6.0,8.0,,,,,,bottom-two,1975-08-25,29.0,F,M,False
2,Aled Jones,Lilia Kopylova,4,Foxtrot,Ballroom,T'ain't What You Do,Cleo Laine,25,7.0,6.0,6.0,6.0,,,,,,safe,1970-12-29,33.0,M,F,False
2,Julian Clary,Erin Boag,4,Paso Doble,Latin,Les toreadors,Georges Bizet,20,4.0,5.0,6.0,5.0,,,,,,safe,1959-05-25,45.0,M,F,False
2,Roger Black,Camilla Dallerup,4,Foxtrot,Ballroom,Why Don't You Do Right,Peggy Lee,29,6.0,8.0,8.0,7.0,,,,,,safe,1966-03-31,38.0,M,,False
2,Diarmuid Gavin,Nicole Cutler,4,Paso Doble,Latin,L'amour est un oiseau rebelle,Georges Bizet,17,3.0,4.0,5.0,5.0,,,,,,eliminated,1964-05-10,40.0,M,F,False
2,Jill Halfpenny,Darren Bennett,4,Foxtrot,Ballroom,All That Jazz,Catherine Zeta-Jones,34,8.0,9.0,9.0,8.0,,,,,,safe,1975-07-15,29.0,F,M,False
2,Sarah Manners,Brendan Cole,5,Samba,Latin,Kiss Kiss,Holly Valance,23,5.0,6.0,6.0,6.0,,,,,,eliminated,1975-08-25,29.0,F,M,False
2,Julian Clary,Erin Boag,5,Samba,Latin,Conga,Gloria Estefan,24,5.0,5.0,7.0,7.0,,,,,,bottom-two,1959-05-25,45.0,M,F,False
2,Denise Lewis,Ian Waite,5,Samba,Latin,Tequila,The Champs,32,7.0,8.0,8.0,9.0,,,,,,safe,1972-08-27,32.0,F,M,False
2,Roger Black,Camilla Dallerup,5,Samba,Latin,"Whenever, Wherever",Shakira,23,4.0,5.0,7.0,7.0,,,,,,safe,1966-03-31,38.0,M,,False
2,Jill Halfpenny,Darren Bennett,5,Samba,Latin,Copacabana,Barry Manilow,35,8.0,9.0,9.0,9.0,,,,,,safe,1975-07-15,29.0,F,M,False
2,Aled Jones,Lilia Kopylova,5,Samba,Latin,It's Not Unusual,Tom Jones,30,6.0,8.0,8.0,8.0,,,,,,safe,1970-12-29,33.0,M,F,False
2,Roger Black,Camilla Dallerup,6,Waltz,Ballroom,She's The One,Robbie Williams,22,5.0,5.0,6.0,6.0,,,,,,eliminated,1966-03-31,38.0,M,,False
2,Roger Black,Camilla Dallerup,6,Rumba,Latin,We've Got Tonight,Kenny Rogers,19,3.0,4.0,6.0,6.0,,,,,,eliminated,1966-03-31,38.0,M,,False
2,Jill Halfpenny,Darren Bennett,6,Quickstep,Ballroom,Get Happy,Judy Garland,32,8.0,8.0,8.0,8.0,,,,,,safe,1975-07-15,29.0,F,M,False
2,Jill Halfpenny,Darren Bennett,6,Cha-Cha-Cha,Latin,She's A Lady,Tom Jones,36,9.0,9.0,9.0,9.0,,,,,,safe,1975-07-15,29.0,F,M,False
2,Julian Clary,Erin Boag,6,Waltz,Ballroom,You Light Up My Life,Debby Boone,28,7.0,7.0,7.0,7.0,,,,,,bottom-two,1959-05-25,45.0,M,F,False
2,Julian Clary,Erin Boag,6,Rumba,Latin,You're Still The One,Shania Twain,27,6.0,7.0,7.0,7.0,,,,,,bottom-two,1959-05-25,45.0,M,F,False
2,Denise Lewis,Ian Waite,6,Quickstep,Ballroom,"Sing, Sing, Sing",Benny Goodman,34,7.0,9.0,9.0,9.0,,,,,,safe,1972-08-27,32.0,F,M,False
2,Denise Lewis,Ian Waite,6,Cha-Cha-Cha,Latin,Uptown Girl,Billy Joel,33,8.0,8.0,8.0,9.0,,,,,,safe,1972-08-27,32.0,F,M,False
2,Aled Jones,Lilia Kopylova,6,Waltz,Ballroom,Love Ain't Here Anymore,Take That,29,7.0,7.0,7.0,8.0,,,,,,safe,1970-12-29,33.0,M,F,False
2,Aled Jones,Lilia Kopylova,6,Rumba,Latin,When You Say Nothing at All,Ronan Keating,27,5.0,6.0,8.0,8.0,,,,,,safe,1970-12-29,33.0,M,F,False
2,Aled Jones,Lilia Kopylova,7,Tango,Ballroom,Cell Block Tango,Catherine Zeta-Jones,27,6.0,7.0,7.0,7.0,,,,,,eliminated,1970-12-29,33.0,M,F,False
2,Aled Jones,Lilia Kopylova,7,Paso Doble,Latin,Malaguena,Connie Francis,30,7.0,7.0,8.0,8.0,,,,,,eliminated,1970-12-29,33.0,M,F,False
2,Jill Halfpenny,Darren Bennett,7,Tango,Ballroom,Objection Tango,Vio Friedmann,29,7.0,8.0,7.0,7.0,,,,,,safe,1975-07-15,29.0,F,M,False
2,Jill Halfpenny,Darren Bennett,7,Paso Doble,Latin,Espana Cani,André Rieu,37,9.0,10.0,9.0,9.0,,,,,,safe,1975-07-15,29.0,F,M,False
2,Julian Clary,Erin Boag,7,Foxtrot,Ballroom,Fever,Peggy Lee,24,5.0,5.0,8.0,6.0,,,,,,safe,1959-05-25,45.0,M,F,False
2,Julian Clary,Erin Boag,7,Jive,Latin,Wake Me Up Before You Go,"Go"" — Wham!",21,4.0,3.0,7.0,7.0,,,,,,safe,1959-05-25,45.0,M,F,False
2,Denise Lewis,Ian Waite,7,Tango,Ballroom,Goldfinger,Shirley Bassey,35,8.0,9.0,9.0,9.0,,,,,,bottom-two,1972-08-27,32.0,F,M,False
2,Denise Lewis,Ian Waite,7,Paso Doble,Latin,Don't Cry For Me Argentina,Madonna,36,9.0,9.0,9.0,9.0,,,,,,bottom-two,1972-08-27,32.0,F,M,False
2,Denise Lewis,Ian Waite,8,Quickstep,Ballroom,"Sing, Sing, Sing",Benny Goodman,38,9.0,10.0,9.0,10.0,,,,,,runner-up,1972-08-27,32.0,F,M,False
2,Denise Lewis,Ian Waite,8,Samba,Latin,Tequila,The Champs,33,8.0,8.0,8.0,9.0,,,,,,runner-up,1972-08-27,32.0,F,M,False
2,Jill Halfpenny,Darren Bennett,8,Foxtrot,Ballroom,All That Jazz,Catherine Zeta-Jones,34,9.0,8.0,9.0,8.0,,,,,,winner,1975-07-15,29.0,F,M,False
2,Jill Halfpenny,Darren Bennett,8,Jive,Latin,I'm Still Standing,Elton John,40,10.0,10.0,10.0,10.0,,,,,,winner,1975-07-15,29.0,F,M,False
2,Julian Clary,Erin Boag,8,Quickstep,Ballroom,Diamonds Are A Girl's Best Friend,Marilyn Monroe,29,7.0,7.0,8.0,7.0,,,,,,,1959-05-25,45.0,M,F,False
2,Julian Clary,Erin Boag,8,Samba,Latin,Conga,Gloria Estefan,23,5.0,5.0,7.0,6.0,,,,,,runner-up,1959-05-25,45.0,M,F,False
3,Darren Gough,Lilia Kopylova,1,Cha-Cha-Cha,Latin,Hot Stuff,Donna Summer,19,3.0,4.0,6.0,6.0,,,,,,safe,1970-09-18,34.0,M,F,False
3,Patsy Palmer,Anton Du Beke,1,Waltz,Ballroom,Fly Me to the Moon,Frank Sinatra,19,3.0,4.0,6.0,6.0,,,,,,safe,1972-05-26,33.0,F,M,False
3,Colin Jackson,Erin Boag,1,Cha-Cha-Cha,Latin,Save the Last Dance for Me,Michael Bublé,32,8.0,8.0,8.0,8.0,,,,,,safe,1967-02-18,38.0,M,F,False
3,Siobhan Hayes,Matthew Cutler,1,Waltz,Ballroom,When the Girl in Your Arms Is the Girl in Your Heart,Cliff Richard,15,2.0,4.0,5.0,4.0,,,,,,eliminated,1975-04-23,30.0,F,M,False
3,James Martin,Camilla Dallerup,1,Cha-Cha-Cha,Latin,Something Got Me Started,Simply Red,22,4.0,5.0,6.0,7.0,,,,,,safe,1972-06-30,33.0,M,,False
3,Gloria Hunniford,Darren Bennett,1,Waltz,Ballroom,Lady,Kenny Rogers,22,4.0,5.0,7.0,6.0,,,,,,safe,1940-04-10,65.0,F,M,False
3,Will Thorp,Hanna Haarala,1,Cha-Cha-Cha,Latin,Crazy Chick,Charlotte Church,18,3.0,3.0,7.0,5.0,,,,,,bottom-two,1977-06-21,28.0,M,F,False
3,Jaye Jacobs,Andrew Cuerden,1,Waltz,Ballroom,When I Need You,Leo Sayer,25,6.0,5.0,7.0,7.0,,,,,,safe,1982-05-27,23.0,F,,False
3,Bill Turnbull,Karen Hardy,1,Cha-Cha-Cha,Latin,Love Potion No. 9,The Coasters,29,7.0,7.0,8.0,7.0,,,,,,safe,1956-01-25,49.0,M,F,False
3,Fiona Phillips,Brendan Cole,1,Waltz,Ballroom,Sam,Olivia Newton-John,11,2.0,2.0,4.0,3.0,,,,,,safe,1961-01-01,44.0,F,M,False
3,Dennis Taylor,Izabela Hannah,1,Cha-Cha-Cha,Latin,Music,Madonna,20,5.0,5.0,5.0,5.0,,,,,,safe,1949-01-19,56.0,M,F,False
3,Zoe Ball,Ian Waite,1,Waltz,Ballroom,Take It to the Limit,Eagles,35,8.0,9.0,9.0,9.0,,,,,,safe,1970-11-23,34.0,F,M,False
3,James Martin,Camilla Dallerup,2,Quickstep,Ballroom,Luck Be A Lady,Frank Sinatra,29,6.0,7.0,8.0,8.0,,,,,,safe,1972-06-30,33.0,M,,False
3,Jaye Jacobs,Andrew Cuerden,2,Rumba,Latin,How Could an Angel Break My Heart,"Kenny G, feat. Toni Braxton",21,4.0,4.0,7.0,6.0,,,,,,eliminated,1982-05-27,23.0,F,,False
3,Dennis Taylor,Izabela Hannah,2,Quickstep,Ballroom,I'm So Excited,The Pointer Sisters,18,4.0,5.0,5.0,4.0,,,,,,safe,1949-01-19,56.0,M,F,False
3,Patsy Palmer,Anton Du Beke,2,Rumba,Latin,She,Elvis Costello,26,6.0,6.0,7.0,7.0,,,,,,safe,1972-05-26,33.0,F,M,False
3,Darren Gough,Lilia Kopylova,2,Quickstep,Ballroom,Let Me Entertain You,Robbie Williams,30,7.0,7.0,8.0,8.0,,,,,,safe,1970-09-18,34.0,M,F,False
3,Zoe Ball,Ian Waite,2,Rumba,Latin,One Moment in Time,Whitney Houston,32,7.0,8.0,8.0,9.0,,,,,,safe,1970-11-23,34.0,F,M,False
3,Will Thorp,Hanna Haarala,2,Quickstep,Ballroom,You Can't Hurry Love,Phil Collins,29,7.0,7.0,8.0,7.0,,,,,,safe,1977-06-21,28.0,M,F,False
3,Gloria Hunniford,Darren Bennett,2,Rumba,Latin,Holding Back the Years,Simply Red,17,2.0,4.0,5.0,6.0,,,,,,bottom-two,1940-04-10,65.0,F,M,False
3,Bill Turnbull,Karen Hardy,2,Quickstep,Ballroom,Do Your Thing,Basement Jaxx,23,5.0,6.0,6.0,6.0,,,,,,safe,1956-01-25,49.0,M,F,False
3,Fiona Phillips,Brendan Cole,2,Rumba,Latin,Almost Here,"Brian McFadden, feat. Delta Goodrem",13,1.0,2.0,6.0,4.0,,,,,,safe,1961-01-01,44.0,F,M,False
3,Colin Jackson,Erin Boag,2,Quickstep,Ballroom,Nice Work If You Can Get It,Bing Crosby,36,9.0,9.0,9.0,9.0,,,,,,safe,1967-02-18,38.0,M,F,False
3,Zoe Ball,Ian Waite,3,Jive,Latin,Part Time Lover,Stevie Wonder,29,7.0,6.0,8.0,8.0,,,,,,safe,1970-11-23,34.0,F,M,False
